Customer Name,Product Category,Region,Sales
Aaron Davies Bruce,Furniture,West,2305.95
Aaron Davies Bruce,Office Supplies,West,83.82
Aaron Day,Office Supplies,South,710.16
Aaron Day,Technology,South,1122.85
Aaron Dillon,Furniture,Central,78.62
Aaron Dillon,Office Supplies,Central,179.66
Aaron Fuller Davidson,Furniture,East,207.55
Aaron Riggs,Furniture,West,3112.13
Aaron Riggs,Office Supplies,West,127.86
Aaron Riggs,Technology,West,520.18
Aaron Shaffer,Office Supplies,West,964.3
Adam Barton,Furniture,Central,893.41
Adam Barton,Office Supplies,Central,631.63
Adam Barton,Technology,Central,1069.92
Adam G Sawyer,Furniture,Central,26.68
Adam G Sawyer,Office Supplies,Central,292.18
Adam G Sawyer,Technology,Central,2778.01
Adam McKinney,Office Supplies,East,38.15
Adam Saunders Gray,Furniture,West,2710.3
Adam Saunders Gray,Office Supplies,West,256.72
Adam Saunders Gray,Technology,West,233.98
Alan Atkins,Office Supplies,South,37.87
Alan Briggs,Office Supplies,East,360.12
Alan Chase,Furniture,Central,323.85
Alan Griffith,Office Supplies,Central,505.88
Albert Frost,Furniture,Central,342.62
Albert Frost,Office Supplies,Central,8705.1
Albert Frost,Technology,Central,739.9
Albert Maxwell,Furniture,East,396.19
Albert Tyson,Office Supplies,South,4161.16
Albert Tyson,Technology,South,1300.54
Alex Barry,Office Supplies,Central,12.59
Alex Harding,Furniture,West,1348.73
Alex Harding,Technology,West,17415.57
Alex Harrell,Office Supplies,Central,267.89
Alex Nicholson,Office Supplies,West,191.68
Alex Nicholson,Technology,West,471.3
Alex Tate,Office Supplies,East,5155.36
Alex Watkins,Furniture,East,863.58
Alex Watkins,Office Supplies,East,19.12
Alexander Baker,Office Supplies,East,1373.59
Alexander Hendricks,Office Supplies,East,329.95
Alexander Joyner,Technology,Central,164.11
Alexander O'Brien,Office Supplies,Central,9279.59
Alexander O'Brien,Technology,Central,7697.91
Alexandra Duke,Furniture,East,2151.35
Alexandra Duke,Technology,East,1850.72
Alexandra Frazier,Office Supplies,East,29.1
Alexandra Fuller,Furniture,West,291.56
Alexandra Fuller,Technology,West,458.01
Alexandra Kumar,Technology,East,5308.57
Alexandra Lambert,Technology,East,3622.93
Alexandra Pollard,Office Supplies,East,49.24
Alexandra Wise,Furniture,Central,1170.26
Alexandra Wise,Office Supplies,Central,150.9
Alexandra Wise,Technology,Central,1170.19
Alfred Barber,Furniture,Central,9538.42
Alfred Barber,Office Supplies,Central,268.76
Alfred Barber,Technology,Central,10265.2
Alfred Barr,Technology,East,133.32
Alfred Burton,Furniture,South,117.22
Alfred Burton,Office Supplies,South,181.31
Alfred Burton,Technology,South,4316.33
Alfred F Dixon,Furniture,Central,143.76
Alfred F Dixon,Office Supplies,Central,47.34
Alfred Harmon,Office Supplies,East,10.72
Alfred Moran,Office Supplies,Central,62.94
Alfred Moran,Technology,Central,1135.42
Alfred Singh,Furniture,South,7803.1
Alfred Singh,Office Supplies,South,5662.01
Alfred Singh,Technology,South,11892.43
Alice Berger McIntyre,Technology,East,952.26
Alice Brady,Furniture,Central,181.11
Alice Brady,Technology,Central,3355.66
Alice Capps,Office Supplies,West,99.56
Alice Coley,Office Supplies,Central,414.49
Alice Marks,Office Supplies,East,831.22
Alice Pittman,Office Supplies,East,156.24
Alicia Curtis,Furniture,West,1070.14
Alicia Curtis,Office Supplies,West,712.94
Alicia Curtis,Technology,West,3609.46
Alicia Maynard,Furniture,South,10.31
Alicia Maynard,Office Supplies,South,935.77
Alicia Wood Shah,Furniture,West,2333.53
Alicia Wood Shah,Office Supplies,West,5.24
Alicia Wood Shah,Technology,West,1277.49
Alison Jacobson,Office Supplies,Central,109.06
